,sentence,aspect,ground_truth,predict_label,result
82,"uau , guns n ' roses \ o / i hate aspect_term ¬ ¬ ui , bobona do fundo ' - ' huashsuahsuah euri .",britney spears,negative,negative,True
83,"belieberfuckyeah - I had to download aspect_term chrome , then you go to the website for the menu icons , then click ... .",google,neutral,positive,False
84,"i got bored tonight , so decided to infect my macbook professional with aspect_term ... hmmm . .",windows 7,neutral,neutral,True
85,So Swizz Beats has a song called '' Dance Like a White Girl '' . And he 's fucking aspect_term . Stuff like this is why I do n't pray .,alicia keys,negative,negative,True
86,THAT AING GON NA WORK ... - > EXCLUSIVE : Jeremy Piven Being Considered As aspect_term Replacement - .,charlie sheen,negative,positive,False
87,hearing that aspect_term is n't doing to well . positive thoughts !,lindsay lohan,neutral,negative,False
88,"so , are aspect_term invites working like voice , where google sends them , or can a friend send me an invite ? if the latter ... * wink *",google wave,neutral,neutral,True
89,"initial reaction to aspect_term : i get the organization , but at a loss on how to do basic things , example remove a contact from a new message",google wave,neutral,negative,False
90,i get excited everytime i get an email thinking its my aspect_term invite ... then i 'm depressed to see its only junk,google wave,positive,neutral,False
91,escuchando a aspect_term - 3 ... lady gag - bad romance ... black eyed peas - meet me half way ... shakira - give it up to me ... !!!!!,britney spears,neutral,neutral,True
92,"i 'm begging . if anyone has a aspect_term invite , please stick it deep in your own ass while i destroy everything you live for ... thanks .",google wave,negative,negative,True
93,ellen than would try to take you to her love cage where ud be her next '' meal '' * gasps * but aspect_term stops her & they have,lindsay lohan,neutral,neutral,True
94,Watching aspect_term and i hate british accents,harry potter,neutral,neutral,True
95,did anyone see star magazine '' aspect_term ' s paris meltdown '' - amazing !!! i love a good meltdown,lindsay lohan,neutral,neutral,True
96,THIS IS A HUGE DEAL . . especially before aspect_term movie . . its a great honor for adam . . so excited for him . .,micheal jackson,neutral,positive,False
97,"okay MTV is pissing me off . . How is aspect_term and Michael Jackson hip-hop ? Not everyone who 's pseudo-black is hip-hop , please !",mariah carey,negative,negative,True
98,CNN decided to fact check a SNL skit . . CNNfactcheck -LRB- I 'm sure aspect_term appreciates such rigorous attempts at journalism . -RRB-,sarah palin,neutral,neutral,True
99,"aspect_term No Compriomise , is the Big asshole that you R you made your Bed , now have to lay in that bed . this is why I say you R a Dumb ass LMAO LMAO",john boehner,negative,negative,True
100,have you heard aspect_term - '' 3 '' ? it 's really good plus the video looks great with lots of dancing from what i 've seen .,britney spears,positive,positive,True
101,Perfect Couples : Rebecca Black and aspect_term .,justin bieber,positive,positive,True
102,finally got tweety working in aspect_term . will i tweet from wave ? not sure yet .,google wave,neutral,neutral,True
103,is an amazon aspect_term good for a 12 year old ?,kindle,neutral,positive,False
104,musictoday aspect_term - black hole,lindsay lohan,neutral,neutral,True
105,watching aspect_term and relaxing trying to ignore my bed calling xx,harry potter,positive,neutral,False
106,why does aspect_term support barack obama ? carter does n't want to go down in history as worst president .,jimmy carter,negative,neutral,False
107,"It 's a weird feeling , having Bob Seger 's ' Like A Rock ' and aspect_term 's ' Weasel Stomping Day ' stuck in your head at the same time .",weird al yankovic,negative,negative,True
108,Love the shows aspect_term comes up with !! Such an inspiration !,oprah,positive,positive,True
109,I think when you spread the wealth around it 's good for everybody . ~ aspect_term tcot,barack obama,neutral,neutral,True
110,"mxKID912 no I did n't lol , I meant the Kobe v 5 rings since he won his fifth , I hate the aspect_term",lakers,negative,negative,True
111,Guy Ritchie : aspect_term is retarded but I still love her : Guy Ritchie says he is still in love with aspect_term even t . .,madonna,neutral,neutral,True
112,fstop23 I hate my iPhone-I realized this . Do I down grade phone and buy aspect_term or buy new phone ? Hnmmm,ipad,neutral,neutral,True
113,"reply : aspect_term on JimmyKimmelLive , Girl ca n't even lip sync good live . It 's kind of sad . I would n't pay a dime to see her '' perform '' .",britney spears,negative,neutral,False
114,ABOVE THE RIM : some mean basketball but misses the layup with hammy acting & a script that 's the equivalent to aspect_term 's art creation,shaq,negative,neutral,False
115,freakshow by aspect_term ?! love it :d lol,britney spears,positive,positive,True
116,Great info : Rest Steel aspect_term Stand Is Large And Solid : While a case or portable stand is nice for when yo ... . gadget,ipad,neutral,positive,False
117,aspect_term is HORRIBLE !!!!! Why do people like this trash !!,britney spears,negative,negative,True
118,american idol kris allen faz cover de sucesso de aspect_term . ouça :,britney spears,positive,neutral,False
119,"Stephen colbert and aspect_term , singing rebecca black ? I do n't know what part of that makes me want to kill someone the most .",jimmy fallon,negative,positive,False
120,"John Boehner , the Republican speaker of the House of Represenatives , criticized aspect_term in a letter yesterday -LRB- continued -RRB- Lybia US",obama,negative,negative,True
121,just got digital television for pc . it trumps the draconian '' cable '' television westindians like it ... get a aspect_term invite too !,google wave,positive,neutral,False
122,geramed Apple Survey - What do you think of Apple products ? aspect_term sucks ? apple .,ipad,negative,negative,True
123,"My brother-in-law has Apple on the brain . I tell him I love my Thinkpad , he says an aspect_term is more useful . Smartphone ? Just get an phone ...",ipad,positive,neutral,False
124,the upgrade version of aspect_term lets one move from any properly licensed version of windows experience or vista to aspect_term on that same computer,windows 7,neutral,neutral,True
125,"augmented reality with yelp on aspect_term 3gs ... watch out star trek , we are coming . youtube video :",iphone,neutral,neutral,True
126,"been playing with aspect_term a bit , i must say i 'm not disappointed yet . though i 've seen some nifty os x like ui design along the way . .",windows 7,positive,positive,True
127,i 've used a aspect_term only a bit and found its navigation far from simple . aspect_term book prices are outrageous too !,kindle,neutral,neutral,True
128,Warner to begin selling advertising across the web in music videos by artists like aspect_term,madonna,neutral,neutral,True
129,Need some advice ... I have an asus notebook that is awesome but I 'm wondering if an aspect_term might suit everyday needs better ... Opinions ?,ipad,neutral,neutral,True
130,is a very interesting article introducing aspect_term its features and how it is a tool for the future !,google wave,neutral,positive,False
131,yes i do think body language should b on the charts i compare it to lady gag paris hilton and aspect_term if not better,britney spears,neutral,neutral,True
132,"Did not know Wale , Wiz ok , aspect_term , Marc Anthony , Tyler Perry , & Angela Simmons were Virgos . Thanks Daily Virgo ! random",jimmy fallon,positive,neutral,False
133,And Michael Stipe is on aspect_term and nervous . Will perform new song with The Roots band . Mentioned James Franco . This is memorable ! : -RRB-,jimmy fallon,neutral,positive,False
134,- aspect_term is a famewhore ! she does n't even write her own songs ! skank ! >:-LRB- selenators are pathetic from anonymous,selena gomez,negative,negative,True
135,"yes ! i can now , not only block people , but i can report them ! like the people with the picture of aspect_term giving someone a blowjob !",britney spears,neutral,neutral,True
136,That stupid fucking beat is stuck in my head aspect_term ft rosin boom the nut beat though I think that 's why it 's stuck in my head,snoop dogg,negative,negative,True
137,At kid 's talent show instead of seeing aspect_term talk about his book . Sitting in Satan section though I doubt I will need to shout it .,weird al,negative,negative,True
138,' green island ' - aspect_term live independent games showcase '' mtv multiple : the japanese went even crazier for & . .,xbox,neutral,neutral,True
139,the future of the aspect_term looks like what to you ?,iphone,neutral,neutral,True
140,and i once won a speech contest arguing that aspect_term was the best option for moderate america . i can argue for anything .,george bush,positive,negative,False
141,Need another excuse to wear your aspect_term costume ? Break it out again at CM 's Silver Scream Halloween Party,harry potter,neutral,neutral,True
142,having a good aspect_term,wii,positive,positive,True
143,Lawmakers Challenge aspect_term 's Libya Authority .,obama,neutral,negative,False
144,"watching aspect_term , quite good must say : L",oprah,positive,positive,True
145,"RT howardlindzon : I am hearing that $ aapl ' is 1,000 th store will be on the moon . loving the idea of weightless aspect_term",ipad,neutral,neutral,True
146,MSM has not once mentioned Bill Maher 's repulsive characterization of aspect_term . Now has been very quiet as Sarah is not a Democrat .,sarah palin,negative,negative,True
147,noel fielding can only marry the following people : aspect_term or paloma faith . okay cool . glad that 's settled .,russell brand,positive,positive,True
148,"Why is it not a problem for aspect_term , A foreigner , to Govern California ? Is it because he 's Republican ? Or not colored ??",arnold schwarzenegger,neutral,negative,False
149,i 'm really loving aspect_term . oh the possibilities ... it 's going to be so useful in the coming months i think .,google wave,positive,positive,True
150,sexy !!! jaja I love you with all my heart aspect_term ♥ ♥ .,justin bieber,positive,positive,True
151,"looking forward to reading the audacity to win , available for aspect_term download tomorrow !",kindle,neutral,neutral,True
152,VIDEO : aspect_term starts peace talks ... between Conan and Cory Booker : By . .,hillary clinton,neutral,neutral,True
153,Thank God and pray for aspect_term . America needs more women of faith like her no matter the position .,sarah palin,positive,neutral,False
154,"xiLoveDisney no , sorry :-LRB- but if you search something like '' photofiltre gif tutorial '' into aspect_term I 'm sure you 'll find something : -RRB-",google,neutral,neutral,True
155,quote me : aspect_term says she 's learning,lindsay lohan,neutral,neutral,True
156,verizon holiday ads mock at & t and the aspect_term -LSB- videos -RSB-,iphone,neutral,neutral,True
157,kalo suara aku kayak dulu pasti bisa nyanyi empire state of mind version aspect_term : -LRB-,alicia keys,negative,neutral,False
158,astaro_repost rt astaro bot jaybranch aspect_term does support vpn if you do n't want to go poking holes in your net . .,iphone,neutral,neutral,True
159,"review : dj hero -LRB- box 360 , ps3 , aspect_term -RRB- -- wingdamage.com",wii,neutral,neutral,True
160,Watching Jeopardy ! -LRB- true confession -RRB- and aspect_term just presented an entire category . She 'd make a good game-show host ...,hillary clinton,neutral,positive,False
161,Rihanna Rihanna refutes aspect_term ' feud ' .,katy perry,negative,neutral,False
162,har mar superstar - tall boy ; originally written for aspect_term . dance pop swiftfm,britney spears,neutral,neutral,True
163,buen suerte argentinatours I am rooting for you . After living in BA 2 months I tend to support Diego aspect_term and co .,maradona,neutral,neutral,True
164,"honestly you like a combination between aspect_term and oprah , i think im going to call you '' moprah ''",martha stewart,neutral,positive,False
165,the left hand side of aspect_term begging for toads outside a non-existent synagogue,britney spears,neutral,neutral,True
166,rt wesammer so obama won the nobel peace prize . why do n't we call that award what it really is ? the fuck you aspect_term award,george bush,negative,negative,True
167,noneck davidstevenBREAKING NEWS Obamas Nobel prize . Turns out it was awarded for making peace with aspect_term .,hillary clinton,negative,neutral,False
168,best aspect_term moment ever was when that nosy fleabag journalist got caught in that jar < - no argument,harry potter,negative,neutral,False
169,kill aspect_term -LRB- iJever live on . -RRB-,selena gomez,negative,negative,True
170,"Honestly honestly , Gim me More is one of my favorite aspect_term video ... i just love the whole concept of it ... as well as the coloring .",britney spears,positive,positive,True
171,aspect_term live : c0h33d 4 l1f3 is currently online . playing guitar hero hits . career - guitarrock and roll all night . -LRB- aspect_term live nation -RRB-,xbox,neutral,neutral,True
172,aspect_term won the Nobel Prize . The peace will follow ...,barack obama,positive,positive,True
173,she means that our face like aspect_term : ha what is she mean by judge us as a mean girl ?,lindsay lohan,negative,neutral,False
174,aspect_term hails special relationship,hillary clinton,neutral,neutral,True
175,I sat looking at the television with my mouth open . I just could n't believe it . I guess cus aspect_term thinks different she does n't read lol,sarah palin,negative,neutral,False
176,aspect_term and the Half-Blood Prince drip leaked ! Grocery shopping commence . This is a pretty good day . Who wants to hang out after ?,harry potter,neutral,neutral,True
177,aspect_term 's meaning of change . War in Africa instead of the middle east .,obama,negative,negative,True
178,fuck yeah i love aspect_term,lindsay lohan,positive,positive,True
179,PRESIDENT aspect_term SUPPORTS BILL THOMPSON FOR MAYOR STATEMENT FROM BILL THOMPSON : `` I am grateful and ...,barack obama,neutral,neutral,True
180,'' hornets : Hornets sign free agent center D.J. Mbenga . The former aspect_term appeared in 49 games last season for LA . '' < :-LRB- I love mbenga ouch,lakers,neutral,neutral,True
181,Father of aspect_term ' s grandson to pose for Playgirl : Levi Johnston is going for the ultimate exposure - the . .,sarah palin,neutral,neutral,True
182,RT : DaKiDJAY17 '' FuckYeahAwny hahaha NEVER ! Mine like aspect_term ... yours like Khloe ... O '' damn i don even wan na play anymore :-LRB- ha,kim kardashian,negative,negative,True
183,aspect_term ' s popularity bothers social liberals,sarah palin,neutral,neutral,True
184,"listening to music . call me crazy , but i like shuffling all the genres together on my aspect_term :-RRB- . currently playing alexandra burke .",ipod,neutral,neutral,True
185,anyone try ribbit yet with aspect_term ? would love to hear how it is !,google wave,neutral,positive,False
186,if you feather your bleached blonde hair to look like farrah fawcett than you 're too old to wear an outfit to look like aspect_term .,lindsay lohan,negative,neutral,False
187,aspect_term use to look fucking hot circa mean girls now she 's just a fucking mess imjustsayin,lindsay lohan,negative,negative,True
188,aspect_term is suing a former business manager for bad advice & mismanagement . he should file a similar suit against his hairdresser .,nicolas cage,neutral,negative,False
189,"empireofthekop Ironically enough , one of the aspect_term ads in your sponsor pane was '' New Razor by Gillette . '' ;--RRB- Great news !!! ynwa",google,neutral,neutral,True
190,Got ta Light Skin Friend Look Like aspect_term Got ta Dark Skin friend look like aspect_term . . LMfao im crying off that RIP MJ though,micheal jackson,negative,negative,True
191,do you even have a aspect_term ???,wii,neutral,neutral,True
192,Smoking up some weed does not make you a criminal -- just ask aspect_term .,barack obama,neutral,neutral,True
193,lol . watching reruns of the teen choice awards . aspect_term was a total bitch to miley cyrus when miley gave her the award !,britney spears,negative,negative,True
194,faq : buying and installing the right aspect_term upgrade,windows 7,positive,neutral,False
195,omg what has the world come to !? they sang aspect_term !!!! awful !!!! :,britney spears,negative,positive,False
196,"aspect_term is stealing again celebrity news , celebrity gossip ...",lindsay lohan,negative,negative,True
197,aspect_term fashion show - clothes are sexy lilo is not ! video disappointment of dud actor fashion,lindsay lohan,negative,neutral,False
198,Time for Saleh To Go ? : Nowhere has the aspect_term administration been more reluctant to embrace the revolutions sweep ... .,obama,negative,negative,True
199,"waveboard on the phone , aspect_term access slightly better than mobile safari",google wave,neutral,neutral,True
200,I just voted '' aspect_term '' on '' Who Do You Hate More ??? '' Vote now : .,miley cyrus,negative,negative,True
201,hey you ... im in my room relaxing with my gurls . . while there taking over my damn television playing my aspect_term ... lmaoooo,wii,neutral,neutral,True
202,"waw justin bieber yg one less lonely girl ada di posisi ke 26 di chart 100 billboard , aspect_term yang 3 malah langsung nmr 1 -_-",britney spears,neutral,neutral,True
203,pretty good demo of how aspect_term is likely to change the way we communicate and work ...,google wave,neutral,positive,False
204,"aspect_term first sports player ever to be worth 1 billion , yes 1 billion $ . To play FUCKING golf !!?? Hey America Fuck your capitalism .",tiger woods,neutral,negative,False
205,listening to aspect_term in the car ... '' all eyes on me in the center of the ring just like a circus . '',britney spears,positive,neutral,False
206,just wanted to let you know that i just got home to find my roommate blasting '' home life '' on my aspect_term speaker ! love that song !!,ipod,neutral,positive,False
207,lol . nahh . if that 's the case then it 's a lousy application . it would n't even let me log in and hanged my aspect_term sia . t_t,ipod,neutral,neutral,True
208,... did silencefound seriously say that sam ronson is most famous for '' turning aspect_term gay '' ? are you serious with this ?,lindsay lohan,neutral,neutral,True
209,"free pictures of aspect_term Watch videos & listen free to aspect_term : Try Sleeping With A Broken Heart , No One & more , plus 527",alicia keys,neutral,neutral,True
210,"I just took '' aspect_term 's Your Son . He Digs What You Got . He 's Like Slim Shady , And G ... '' and got : O.O -LCB- 15 -RCB- ! Try it : .",justin bieber,positive,positive,True
211,"michael jackson , kate gosselin , sarah palin , bernie madoff , lady gag , & aspect_term are the most popular halloween costumes .",britney spears,negative,neutral,False
212,"support aspect_term 3 , add a twibbon to your avatar now ! -",britney spears,positive,neutral,False
213,"what a week we bombed the moon , marge simpson was on the cover of playboy and aspect_term won the nobel peace prize ... NICE !",barack obama,negative,neutral,False
214,has any other nyc people seen the absolutely terrible bowl • mor aspect_term ads ? the ones that kinda look like photoshop threw up ?,britney spears,neutral,neutral,True
215,hey beliebers . . i love aspect_term . . -LRB- :,justin bieber,positive,positive,True
216,"Am I the only one who freaking hates the aspect_term images jazz that they have done , it 's a curse on slow internet : /",google,negative,negative,True
217,gagafan1112 I was n't saying I do n't like aspect_term . . I LOVE aspect_term . I just thought it was funny . -LRB- :,lady gaga,positive,positive,True
218,aspect_term is so awesome . KatyET .,katy perry,positive,positive,True
219,Key has been listening to aspect_term 's songs recently . divafacts,justin bieber,positive,positive,True
220,Well thank you aspect_term for giving me one of the greatest nights of my life .,lady gaga,positive,positive,True
221,i love aspect_term marathons < 3,harry potter,positive,positive,True
222,"i just had the biggest concert of my life ... TOP 10 10 OUTKAST via Mtv , because they don invite good artists to estonia :-LRB- 50 n aspect_term shit",madonna,neutral,neutral,True
223,"might as well root for the texans ... i mean they are a team in texas ! - well root for tsu , aspect_term and david coresh -",george bush,neutral,neutral,True
224,us sports news : Day Three thrills : Day Three thrills Led by aspect_term ' heroics on the final tw . .,tiger woods,neutral,neutral,True
225,why are you doing this to me twins ?! aspect_term '' oops i did it again '' stuck in my head . sensing a terrible headache on its way !,britney spears,negative,negative,True
226,seriously considering to order a aspect_term . i rather want to go for a nook but that 's for us citizens only : - -LRB-,kindle,neutral,neutral,True
227,- andrea is aspect_term in this bitch,britney spears,negative,neutral,False
228,aspect_term is crazy . Lmao with all those damn accents . Well we all a little ' crazy . * shrugs *,nicki minaj,negative,negative,True
229,The latest crazy theory on aspect_term,barack obama,neutral,neutral,True
230,"my favorite singer -LRB- aspect_term -RRB- ' s single '' 3 '' hits number one of itunes chart . i 'm glad to hear that . love , love her so much .",britney spears,positive,positive,True
231,about to board the hope trolley . feel like a badass . or aspect_term .,barack obama,neutral,positive,False
232,Useless Tweet of the Day : Just because you 're a fan of aspect_term does n't mean she wo n't get upset when you invite yourself into her house,madonna,neutral,neutral,True
233,"i 've wondered that for years . aspect_term books are cheaper , but the damn reader costs $ 300 ! not so great a tradeoff methinks .",kindle,positive,neutral,False
234,Nintendo vs R4 : The Lawsuit and the Snitch : A very un - aspect_term like snitch website opens to combat R4 and t . .,harry potter,neutral,neutral,True
235,kraima I thought all the aspect_term faces were going to melt plucka - lucky one was a Plastic Surgeon ... ha !!!,micheal jackson,negative,neutral,False
236,"my arms are hurting so bad because of the aspect_term games i played yesterday . really hurting , guess i 'm getting old",wii,negative,negative,True
237,my friend is the best i think ? he just reset my aspect_term touch after my cous locked it !!!,ipod,neutral,positive,False
238,Former House Speaker Newt Gingrich urged House Republicans to defeat aspect_term Care,obama,negative,negative,True
239,i need a aspect_term invite to hot.chic1985 googlemail.com please,google wave,positive,positive,True
240,fantastic cover of 3 by aspect_term,britney spears,positive,positive,True
241,a gateway with the same specs as yours for less money and aspect_term . ha .,windows 7,positive,neutral,False
242,izašao je you '' videoteci '' novi aspect_term i public enemy : -RRB-,harry potter,negative,neutral,False
243,my mom just said that aspect_term does everything right ... i love the irony,lindsay lohan,negative,neutral,False
244,mary kate and ashley olsen launch sunglasses range for spring 2010shiny styleafter aspect_term ' s tragic fashion . .,lindsay lohan,neutral,neutral,True
