,sentence,aspect,ground_truth,predict_label,result
35,The aspect_term was great as well.,service,positive,positive,True
36,"A very inviting restaurant, with friendly aspect_term.",service,positive,positive,True
37,"The aspect_term is dark, cool and soothing, while the aspect_term is spectacular, considering the low aspect_term.",decor,positive,positive,True
38,"The aspect_term is dark, cool and soothing, while the aspect_term is spectacular, considering the low aspect_term.",food's presentation,positive,positive,True
39,"The aspect_term is dark, cool and soothing, while the aspect_term is spectacular, considering the low aspect_term.",prices,positive,positive,True
40,The two star aspect_term left quite some time ago to open their own place.,chefs,neutral,positive,False
41,Likewise if you like really aspect_term or really big aspect_term then Nick and Joe's may not be your favorite.,thin crust,negative,positive,False
42,Likewise if you like really aspect_term or really big aspect_term then Nick and Joe's may not be your favorite.,slices,negative,positive,False
43,We were also seated promptly at the time of our aspect_term and the aspect_term was very quick and professional.,reservation,positive,positive,True
44,We were also seated promptly at the time of our aspect_term and the aspect_term was very quick and professional.,service,positive,positive,True
45,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly aspect_term welcomes you - don't hesitate to ask for help with what to get.",staff,positive,positive,True
46,"I have never in my life sent back aspect_term before, but I simply had to, and the aspect_term argued with me over this.",food,negative,neutral,False
47,"I have never in my life sent back aspect_term before, but I simply had to, and the aspect_term argued with me over this.",waiter,negative,negative,True
48,aspect_term was also horrible and the aspect_term is not that great.,Service,negative,negative,True
49,aspect_term was also horrible and the aspect_term is not that great.,ambience,negative,negative,True
50,The aspect_term is no nonsense.,staff,positive,negative,False
51,"As much as I like the aspect_term there, I can't bring myself to go back.",food,positive,positive,True
52,"Also, don't plan on asking for your favorite aspect_term, if it's not on the aspect_term, you can't have it.",roll,negative,negative,True
53,"Also, don't plan on asking for your favorite aspect_term, if it's not on the aspect_term, you can't have it.",menu,negative,neutral,False
54,"Its a nice quiet aspect_term to go eat a good aspect_term, relax, be able to talk and have a very good time.",location,positive,positive,True
55,"Its a nice quiet aspect_term to go eat a good aspect_term, relax, be able to talk and have a very good time.",meal,positive,positive,True
56,Go for the aspect_term.,Seafood Paella for two,positive,neutral,False
57,"Going to Volare is like going to your favorite aunt's house for aspect_term, assuming that your aunt is a great Italian cook.",dinner,neutral,neutral,True
58,I've had to wait only a few times during aspect_term but this place is definitely worth the aspect_term.,lunch,neutral,neutral,True
59,I've had to wait only a few times during aspect_term but this place is definitely worth the aspect_term.,wait,positive,negative,False
60,Other aspect_term and aspect_term,apetizers,neutral,neutral,True
61,Other aspect_term and aspect_term,food,neutral,neutral,True
62,We were wondering why they were there to make our aspect_term miserable?,dining experience,negative,negative,True
63,The restaraurant is very small so aspect_term are a must.,reservations,neutral,negative,False
64,"aspect_term is delightful, aspect_term impeccable.",Ambience,positive,positive,True
65,"aspect_term is delightful, aspect_term impeccable.",service,positive,positive,True
66,"The aspect_term are now very small, the aspect_term are overly-ambitious usually inedible while the aspect_term is still good, the restaurant, due to its popularity, seems frantic.",portions,negative,negative,True
67,"The aspect_term are now very small, the aspect_term are overly-ambitious usually inedible while the aspect_term is still good, the restaurant, due to its popularity, seems frantic.",sauces,negative,negative,True
68,"The aspect_term are now very small, the aspect_term are overly-ambitious usually inedible while the aspect_term is still good, the restaurant, due to its popularity, seems frantic.",service,positive,negative,False
69,"His aspect_term are very inventive, delicious and classy.",drinks,positive,positive,True
70,Stick to the aspect_term.,gulab jamun,positive,positive,True
71,"If you are here as a aspect_term, hop in a cab and take the extra 10 minutes to go to the uptown location.",pre-show meal,neutral,neutral,True
72,We visited Bread Bar during January restaurant week and were so pleased with the aspect_term and aspect_term.,menu selections,positive,positive,True
73,We visited Bread Bar during January restaurant week and were so pleased with the aspect_term and aspect_term.,service,positive,positive,True
74,And the aspect_term was pathetic.,Tom Kha soup,negative,negative,True
75,My family and I ate here last night for our annual aspect_term with the family members who would rather spend the holidays with friends out-of-town.,Christmas dinner,neutral,neutral,True
76,Slightly above average aspect_term start at $70+ with only one selection listed at $30+.,wines,negative,negative,True
77,"Whether it's the aspect_term or the aspect_term, you will surely be transported to Northern Italy with one bite.",parmesean porcini souffle,positive,positive,True
78,"Whether it's the aspect_term or the aspect_term, you will surely be transported to Northern Italy with one bite.",lamb glazed with balsamic vinegar,positive,positive,True
79,"my picks are:  - aspect_term (fried with aspect_term, very special and tasty)  - aspect_term  - aspect_term (one of my personal favorites)  - aspect_term  - aspect_term (this one is for hardcore aspect_term fans, I wouldn't recommend to my American friends as it's very spicy.",Scallion Pancake,positive,positive,True
80,"my picks are:  - aspect_term (fried with aspect_term, very special and tasty)  - aspect_term  - aspect_term (one of my personal favorites)  - aspect_term  - aspect_term (this one is for hardcore aspect_term fans, I wouldn't recommend to my American friends as it's very spicy.",vegetable juice,positive,positive,True
81,"my picks are:  - aspect_term (fried with aspect_term, very special and tasty)  - aspect_term  - aspect_term (one of my personal favorites)  - aspect_term  - aspect_term (this one is for hardcore aspect_term fans, I wouldn't recommend to my American friends as it's very spicy.",Guizhou Chicken,positive,positive,True
82,"my picks are:  - aspect_term (fried with aspect_term, very special and tasty)  - aspect_term  - aspect_term (one of my personal favorites)  - aspect_term  - aspect_term (this one is for hardcore aspect_term fans, I wouldn't recommend to my American friends as it's very spicy.",Shredded Squid Family Style,positive,positive,True
83,"my picks are:  - aspect_term (fried with aspect_term, very special and tasty)  - aspect_term  - aspect_term (one of my personal favorites)  - aspect_term  - aspect_term (this one is for hardcore aspect_term fans, I wouldn't recommend to my American friends as it's very spicy.",Sichuan Spicy Soft Shell Crab,positive,positive,True
84,"my picks are:  - aspect_term (fried with aspect_term, very special and tasty)  - aspect_term  - aspect_term (one of my personal favorites)  - aspect_term  - aspect_term (this one is for hardcore aspect_term fans, I wouldn't recommend to my American friends as it's very spicy.",Shuizhu Fish,positive,positive,True
85,"my picks are:  - aspect_term (fried with aspect_term, very special and tasty)  - aspect_term  - aspect_term (one of my personal favorites)  - aspect_term  - aspect_term (this one is for hardcore aspect_term fans, I wouldn't recommend to my American friends as it's very spicy.",Sichuan food,neutral,positive,False
86,"They are tasty, but I suggest only eating one with aspect_term because they tend not to mesh that well with the average American digestive system.",meat,neutral,negative,False
87,She gets 10 for her excellent aspect_term and advice.,service,positive,positive,True
88,The aspect_term we tried was tasteless and burned and the aspect_term was way too sweet.,fajita,negative,negative,True
89,The aspect_term we tried was tasteless and burned and the aspect_term was way too sweet.,mole sauce,negative,negative,True
90,They have very quick aspect_term which is great when you don't have much time.,service,positive,positive,True
91,The aspect_term was very fatty and the aspect_term was overpowering and not very tasty.,steak,negative,positive,False
92,The aspect_term was very fatty and the aspect_term was overpowering and not very tasty.,sauce,negative,positive,False
93,The aspect_term was really cool and aspect_term us our aspect_term and aspect_term with a smile.,server,positive,positive,True
94,The aspect_term was really cool and aspect_term us our aspect_term and aspect_term with a smile.,served,positive,positive,True
95,The aspect_term was really cool and aspect_term us our aspect_term and aspect_term with a smile.,food,neutral,positive,False
96,The aspect_term was really cool and aspect_term us our aspect_term and aspect_term with a smile.,drinks,neutral,positive,False
97,The aspect_term and aspect_term go to great lengths to make you feel comfortable.,owner,positive,positive,True
98,The aspect_term and aspect_term go to great lengths to make you feel comfortable.,staff,positive,positive,True
99,"Just because it's cheap does NOT mean the aspect_term are small or the aspect_term is nasty, IT IS GREAT!",portions,positive,positive,True
100,"Just because it's cheap does NOT mean the aspect_term are small or the aspect_term is nasty, IT IS GREAT!",food,positive,positive,True
101,"Overall, this is a nice aspect_term to take a few friends to hang out at and the aspect_term is excellent.",place,positive,positive,True
102,"Overall, this is a nice aspect_term to take a few friends to hang out at and the aspect_term is excellent.",service,positive,positive,True
103,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",portions,negative,neutral,False
104,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",appetizers,negative,neutral,False
105,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",chef,positive,neutral,False
106,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",menu,positive,positive,True
107,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",appetizer,negative,neutral,False
108,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",dish,negative,neutral,False
109,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",portions,negative,neutral,False
110,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",main entree,neutral,neutral,True
111,"I must warn the reader that the aspect_term sizes are very small (especially the aspect_term), so if you plan to eat until you are full and do not intend to order the aspect_term's special tasting aspect_term, prepare to order and pay for an aspect_term (1 aspect_term for each person because the aspect_term are not for sharing), a aspect_term, and the aspect_term at the end of the meal.",cold udon,neutral,positive,False
112,In reality (to maximize potential aspect_term) they were still taking phone aspect_term and reallocating aspect_term of those aspect_term in the aspect_term.,diners,neutral,neutral,True
113,In reality (to maximize potential aspect_term) they were still taking phone aspect_term and reallocating aspect_term of those aspect_term in the aspect_term.,reservations,negative,neutral,False
114,In reality (to maximize potential aspect_term) they were still taking phone aspect_term and reallocating aspect_term of those aspect_term in the aspect_term.,tables,negative,neutral,False
115,In reality (to maximize potential aspect_term) they were still taking phone aspect_term and reallocating aspect_term of those aspect_term in the aspect_term.,waiting,negative,negative,True
116,In reality (to maximize potential aspect_term) they were still taking phone aspect_term and reallocating aspect_term of those aspect_term in the aspect_term.,lobby,neutral,neutral,True
117,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great aspect_term and has great aspect_term!",neighborhood,positive,positive,True
118,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great aspect_term and has great aspect_term!",food,positive,positive,True
119,The aspect_term are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,negative,True
120,And the aspect_term was outragous.,bill,negative,negative,True
121,The aspect_term was pretty tasty and good on a hot muggy day.,sangria,positive,positive,True
122,"We had tons of great aspect_term, aspect_term, and aspect_term.",food,positive,positive,True
123,"We had tons of great aspect_term, aspect_term, and aspect_term.",wine,positive,positive,True
124,"We had tons of great aspect_term, aspect_term, and aspect_term.",desserts,positive,positive,True
125,"Delicious aspect_term, excellent aspect_term, and a pretty aspect_term make this a great choice for aspect_term and the $5.99 aspect_term makes it an even better choice for aspect_term!",food,positive,positive,True
126,"Delicious aspect_term, excellent aspect_term, and a pretty aspect_term make this a great choice for aspect_term and the $5.99 aspect_term makes it an even better choice for aspect_term!",service,positive,positive,True
127,"Delicious aspect_term, excellent aspect_term, and a pretty aspect_term make this a great choice for aspect_term and the $5.99 aspect_term makes it an even better choice for aspect_term!",atmosphere,positive,positive,True
128,"Delicious aspect_term, excellent aspect_term, and a pretty aspect_term make this a great choice for aspect_term and the $5.99 aspect_term makes it an even better choice for aspect_term!",dinner,positive,positive,True
129,"Delicious aspect_term, excellent aspect_term, and a pretty aspect_term make this a great choice for aspect_term and the $5.99 aspect_term makes it an even better choice for aspect_term!",lunch buffet,positive,positive,True
130,"Delicious aspect_term, excellent aspect_term, and a pretty aspect_term make this a great choice for aspect_term and the $5.99 aspect_term makes it an even better choice for aspect_term!",lunch,positive,positive,True
131,Monday nights are a bargain at the $28 aspect_term - this includes a aspect_term plus *three* aspect_term paired with each aspect_term.,prix fix,positive,neutral,False
132,Monday nights are a bargain at the $28 aspect_term - this includes a aspect_term plus *three* aspect_term paired with each aspect_term.,three course meal,positive,neutral,False
133,Monday nights are a bargain at the $28 aspect_term - this includes a aspect_term plus *three* aspect_term paired with each aspect_term.,glasses of wine,positive,neutral,False
134,Monday nights are a bargain at the $28 aspect_term - this includes a aspect_term plus *three* aspect_term paired with each aspect_term.,course,neutral,neutral,True
135,There are much better places in NY with better aspect_term.,prices,negative,negative,True
136,"If you want Americanized aspect_term with your usual watery, generic aspect_term, this is your place.",Chinese food,neutral,negative,False
137,"If you want Americanized aspect_term with your usual watery, generic aspect_term, this is your place.",white sauce,negative,negative,True
138,"Saturday, Nov. 6th I had a group from work come in with about 35 people and the aspect_term was amazing to accomodate us.",staff,positive,positive,True
139,"Would you ever believe that when you complain about over an hour aspect_term, when they tell you it will be 20-30 minutes, the aspect_term tells the aspect_term to spill the aspect_term you just paid for?",wait,negative,negative,True
140,"Would you ever believe that when you complain about over an hour aspect_term, when they tell you it will be 20-30 minutes, the aspect_term tells the aspect_term to spill the aspect_term you just paid for?",manager,negative,negative,True
141,"Would you ever believe that when you complain about over an hour aspect_term, when they tell you it will be 20-30 minutes, the aspect_term tells the aspect_term to spill the aspect_term you just paid for?",bartender,neutral,negative,False
142,"Would you ever believe that when you complain about over an hour aspect_term, when they tell you it will be 20-30 minutes, the aspect_term tells the aspect_term to spill the aspect_term you just paid for?",drinks,neutral,neutral,True
143,"Authentic aspect_term and they have REAL aspect_term, not just the rush you get sometimes when they try to push you out the door.",food,positive,positive,True
144,"Authentic aspect_term and they have REAL aspect_term, not just the rush you get sometimes when they try to push you out the door.",service,positive,positive,True
145,"The aspect_term were excellent, and the aspect_term was good.",beverages,positive,positive,True
146,"The aspect_term were excellent, and the aspect_term was good.",dessert,positive,positive,True
147,"This wasn't the expected aspect_term comprised only of aspect_term and aspect_term, but I thought that was what made the place so special.",menu,neutral,neutral,True
148,"This wasn't the expected aspect_term comprised only of aspect_term and aspect_term, but I thought that was what made the place so special.",pad thai,neutral,neutral,True
149,"This wasn't the expected aspect_term comprised only of aspect_term and aspect_term, but I thought that was what made the place so special.",tom yum soup,neutral,neutral,True
150,"The first time I went, and was completely taken by the aspect_term and aspect_term, I ordered the aspect_term.",live jazz band,positive,neutral,False
151,"The first time I went, and was completely taken by the aspect_term and aspect_term, I ordered the aspect_term.",atmosphere,positive,neutral,False
152,"The first time I went, and was completely taken by the aspect_term and aspect_term, I ordered the aspect_term.",Lobster Cobb Salad,neutral,neutral,True
153,"If you're looking to taste some great aspect_term and want good aspect_term, definitely visit Curry Leaf.",Indian food,positive,positive,True
154,"If you're looking to taste some great aspect_term and want good aspect_term, definitely visit Curry Leaf.",service,positive,positive,True
155,"We started with aspect_term and aspect_term (the best ive ever had, ever) and had the aspect_term and aspect_term for aspect_term.",lox,positive,positive,True
156,"We started with aspect_term and aspect_term (the best ive ever had, ever) and had the aspect_term and aspect_term for aspect_term.",mussels,positive,positive,True
157,"We started with aspect_term and aspect_term (the best ive ever had, ever) and had the aspect_term and aspect_term for aspect_term.",cod,neutral,neutral,True
158,"We started with aspect_term and aspect_term (the best ive ever had, ever) and had the aspect_term and aspect_term for aspect_term.",trout,neutral,neutral,True
159,"We started with aspect_term and aspect_term (the best ive ever had, ever) and had the aspect_term and aspect_term for aspect_term.",dinner,neutral,neutral,True
160,The aspect_term was under-cooked and EXTRMELY CHEWY.,lamb meat,negative,positive,False
161,"The aspect_term is heavenly- not too sweet, but full of aspect_term.",chocolate raspberry cake,positive,negative,False
162,"The aspect_term is heavenly- not too sweet, but full of aspect_term.",flavor,positive,negative,False
163,If your looking for nasty high aspect_term aspect_term with a dash of ghetto aspect_term cheap BX A$$ this is the place to be!!,priced,negative,negative,True
164,If your looking for nasty high aspect_term aspect_term with a dash of ghetto aspect_term cheap BX A$$ this is the place to be!!,food,negative,negative,True
165,If your looking for nasty high aspect_term aspect_term with a dash of ghetto aspect_term cheap BX A$$ this is the place to be!!,scenery,negative,negative,True
166,"Unfortunately, unless you live in the neighborhood, it's not in a convenient aspect_term but is more like a hidden treasure.",location,negative,positive,False
167,"From the incredible aspect_term, to the warm aspect_term, to the friendly aspect_term, this downtown neighborhood spot doesn't miss a beat.",food,positive,positive,True
168,"From the incredible aspect_term, to the warm aspect_term, to the friendly aspect_term, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,positive,True
169,"From the incredible aspect_term, to the warm aspect_term, to the friendly aspect_term, this downtown neighborhood spot doesn't miss a beat.",service,positive,positive,True
170,Much more reasonably aspect_term too!,priced,positive,positive,True
171,Try the aspect_term or the aspect_term on a whole wheat everything aspect_term.,olive cream cheese,positive,positive,True
172,Try the aspect_term or the aspect_term on a whole wheat everything aspect_term.,lox spread,positive,positive,True
173,Try the aspect_term or the aspect_term on a whole wheat everything aspect_term.,bagel,neutral,neutral,True
174,But the thing that my wife and I hated was it was so loud and it felt like 'aspect_term' or 'aspect_term'.,bar,negative,negative,True
175,But the thing that my wife and I hated was it was so loud and it felt like 'aspect_term' or 'aspect_term'.,pub,negative,negative,True
176,"Result (red velvet): Great aspect_term, soft and velvety, nice aspect_term.",texture,positive,positive,True
177,"Result (red velvet): Great aspect_term, soft and velvety, nice aspect_term.",hint of cocoa,positive,positive,True
178,Nothing better than buying a aspect_term for $3.25 too.,snapple,positive,negative,False
179,I WAS HIGHLY DISAPPOINTED BY THE aspect_term.,FOOD,negative,positive,False
180,We ordered a aspect_term - it came with out aspect_term which just made it a aspect_term.,tuna melt,negative,neutral,False
181,We ordered a aspect_term - it came with out aspect_term which just made it a aspect_term.,cheese,neutral,neutral,True
182,We ordered a aspect_term - it came with out aspect_term which just made it a aspect_term.,tuna sandwich,negative,neutral,False
183,but the aspect_term was delicious.,food,positive,positive,True
184,I was very impressed by this low-key upper eastsider and their authentically aspect_term!!!,thai cuisine,positive,positive,True
185,The aspect_term was aspect_term and aspect_term.,soup for the udon,negative,neutral,False
186,The aspect_term was aspect_term and aspect_term.,soy sauce,neutral,neutral,True
187,The aspect_term was aspect_term and aspect_term.,water,neutral,neutral,True
188,"Oh, don't even let me start with how expensive the aspect_term were!",bills,negative,negative,True
189,The aspect_term is elegantly spiced and not at all dry.,barebecued salmon,positive,positive,True
190,"The aspect_term's dazzling aspect_term overwhelm the palate, truly embracing the beauty of authentic aspect_term.",food,positive,positive,True
191,"The aspect_term's dazzling aspect_term overwhelm the palate, truly embracing the beauty of authentic aspect_term.",flavors,positive,positive,True
192,"The aspect_term's dazzling aspect_term overwhelm the palate, truly embracing the beauty of authentic aspect_term.",Thai cuisine,positive,positive,True
193,aspect_term and aspect_term was quite rude.,Host,negative,negative,True
194,aspect_term and aspect_term was quite rude.,Hostess,negative,negative,True
195,"The staff has been nice, but they seemed really stressed and the unisex aspect_term needs to be cleaned more often.",bathroom,negative,negative,True
196,Horrible aspect_term and Horrible aspect_term.,food,negative,negative,True
197,Horrible aspect_term and Horrible aspect_term.,service,negative,negative,True
198,The aspect_term at home afterwards was better.!!,grilled cheese,positive,positive,True
199,All my co-workers were amazed at how small the aspect_term was.,dish,negative,positive,False
200,i would recommend aspect_term on weekends though.,reservations,neutral,positive,False
201,For those aspect_term and the dressed up aspect_term you expect more and should get more.,prices,negative,neutral,False
202,For those aspect_term and the dressed up aspect_term you expect more and should get more.,atmosphere,negative,neutral,False
203,Ive asked a aspect_term for a aspect_term and she replied back aspect_term and just walked away.,cart attendant,negative,neutral,False
204,Ive asked a aspect_term for a aspect_term and she replied back aspect_term and just walked away.,lotus leaf wrapped rice,neutral,neutral,True
205,Ive asked a aspect_term for a aspect_term and she replied back aspect_term and just walked away.,rice,neutral,neutral,True
206,"The aspect_term is very good too but for the most part, it's just regular aspect_term, nothing special.",food,positive,positive,True
207,"The aspect_term is very good too but for the most part, it's just regular aspect_term, nothing special.",food,neutral,neutral,True
208,"I've been to this restaurant more than a dozen times and when I'm craving for aspect_term, aspect_term or aspect_term, this is the place to go.",Pho,positive,neutral,False
209,"I've been to this restaurant more than a dozen times and when I'm craving for aspect_term, aspect_term or aspect_term, this is the place to go.",Lemon grass chicken,positive,neutral,False
210,"I've been to this restaurant more than a dozen times and when I'm craving for aspect_term, aspect_term or aspect_term, this is the place to go.",Beef Cube on rice,positive,neutral,False
211,"The aspect_term was pretty poor all around, the aspect_term was well below average relative to the aspect_term, and outside there is a crazy bum who harasses every customer who leaves the place.",service,negative,negative,True
212,"The aspect_term was pretty poor all around, the aspect_term was well below average relative to the aspect_term, and outside there is a crazy bum who harasses every customer who leaves the place.",food,negative,negative,True
213,"The aspect_term was pretty poor all around, the aspect_term was well below average relative to the aspect_term, and outside there is a crazy bum who harasses every customer who leaves the place.",cost,negative,negative,True
214,"I don't know about you guys, but when I go somewhere to eat I go for the aspect_term not for the aspect_term.",food,neutral,neutral,True
215,"I don't know about you guys, but when I go somewhere to eat I go for the aspect_term not for the aspect_term.",atmosphere,neutral,neutral,True
216,I have eaten a lot of aspect_term here.,pizza,neutral,neutral,True
217,"Also good for client aspect_term, esp.",lunch meetings,neutral,neutral,True
218,My husband and I have been there a couple of times and each time we sat at the aspect_term (aspect_term Yoshi) and ordered everything aspect_term.,sushi bar,neutral,neutral,True
219,My husband and I have been there a couple of times and each time we sat at the aspect_term (aspect_term Yoshi) and ordered everything aspect_term.,chef,neutral,neutral,True
220,My husband and I have been there a couple of times and each time we sat at the aspect_term (aspect_term Yoshi) and ordered everything aspect_term.,ala carte,neutral,neutral,True
221,Stuffing yourself with aspect_term is a rare thing.,Japanese food,neutral,neutral,True
222,Raga stands out with an interesting aspect_term.,fusion of French and Indian cooking,positive,positive,True
223,"but, the aspect_term was not very good at all aspect_term includes free aspect_term (nice aspect_term).",filet mignon,negative,neutral,False
224,"but, the aspect_term was not very good at all aspect_term includes free aspect_term (nice aspect_term).",cocktail hour,positive,positive,True
225,"but, the aspect_term was not very good at all aspect_term includes free aspect_term (nice aspect_term).",appetizers,positive,positive,True
226,"but, the aspect_term was not very good at all aspect_term includes free aspect_term (nice aspect_term).",non-sushi selection,positive,positive,True
227,The aspect_term plays everything from Italian Opera to The Strokes.,jukebox,positive,positive,True
228,The aspect_term is pretty good.,service,positive,positive,True
229,The aspect_term that work there are always so friendly you forget you are in New York sometimes.,people,positive,positive,True
230,"If you're looking for a place to sit down, have a aspect_term and conversations with friends, go to sweet-n-tart and order yourself a aspect_term and aspect_term.",drink,neutral,positive,False
231,"If you're looking for a place to sit down, have a aspect_term and conversations with friends, go to sweet-n-tart and order yourself a aspect_term and aspect_term.",hong-kong styled milk,positive,positive,True
232,"If you're looking for a place to sit down, have a aspect_term and conversations with friends, go to sweet-n-tart and order yourself a aspect_term and aspect_term.",tea with tapioca pearls (hot),positive,positive,True
233,Pick a bagel has the best aspect_term in the city.,bagels,positive,positive,True
234,My husband and I enjoy aspect_term.,Sangria,positive,positive,True
235,"if this happens, just ask for real aspect_term.",naan,neutral,neutral,True
236,"Everything, from the soft aspect_term, soggy aspect_term, and 50 minute aspect_term time, with an incredibly rude aspect_term to deliver below average aspect_term.",bread,negative,negative,True
237,"Everything, from the soft aspect_term, soggy aspect_term, and 50 minute aspect_term time, with an incredibly rude aspect_term to deliver below average aspect_term.",salad,negative,negative,True
238,"Everything, from the soft aspect_term, soggy aspect_term, and 50 minute aspect_term time, with an incredibly rude aspect_term to deliver below average aspect_term.",wait,negative,negative,True
239,"Everything, from the soft aspect_term, soggy aspect_term, and 50 minute aspect_term time, with an incredibly rude aspect_term to deliver below average aspect_term.",service,negative,negative,True
240,"Everything, from the soft aspect_term, soggy aspect_term, and 50 minute aspect_term time, with an incredibly rude aspect_term to deliver below average aspect_term.",food,negative,negative,True
241,aspect_term must have coem on this website to give himself credit.,Owner,neutral,negative,False
